--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
DOTA_Tooltip_modifier_item_P046_potion,Thuốc Thiền Định
DOTA_Tooltip_modifier_item_P047_potion,Thuốc May Mắn
DOTA_Tooltip_modifier_item_P047_potion_Description,"May mắn. Sau khi dùng, tăng 35 điểm may mắn, thời gian kéo dài 120 giây"
DOTA_Tooltip_modifier_item_P050_potion,Thuốc Tấn Công
DOTA_Tooltip_modifier_item_P050_potion_Description,Sức tấn công đã tăng lên.
DOTA_Tooltip_modifier_item_M112_buff,Phát sáng
DOTA_Tooltip_modifier_item_M112_buff_Description,Phát sáng khi ở trong bóng tối.
DOTA_Tooltip_modifier_item_P038_source,Nguyên sơ
DOTA_Tooltip_modifier_item_P038_source_Description,"Khi gây sát thương, thêm sát thương thuần khiết."
DOTA_Tooltip_modifier_item_P039_unyielding,Bất khuất
DOTA_Tooltip_modifier_item_P039_unyielding_Description,Trì hoãn một phần sát thương trực tiếp thành sát thương chảy máu.
DOTA_Tooltip_modifier_boss_006_execute_stack,Dấu ấn bão
DOTA_Tooltip_modifier_boss_006_execute_stack_Description,"Đặt trước số lớp đếm ngược khi kỹ năng bắt đầu phóng; mỗi lần bị lốc xoáy trúng sẽ giảm 1 lớp, về 0 sẽ kích hoạt xử tử."
DOTA_Tooltip_modifier_boss_kez_3_pull,Kéo hư không
DOTA_Tooltip_modifier_boss_kez_3_pull_Description,Liên tục hút kẻ địch xung quanh lại gần bản thân.
DOTA_Tooltip_modifier_boss_kez_3_buff,Ẩn vào bóng tối
DOTA_Tooltip_modifier_boss_kez_3_buff_Description,"Tăng sát thương, tốc độ đánh và tốc độ di chuyển, gây thêm sát thương khi tấn công."
DOTA_Tooltip_modifier_boss_kez_4_parry,Đỡ đòn
DOTA_Tooltip_modifier_boss_kez_4_parry_Description,Chặn tất cả đạn.
DOTA_Tooltip_modifier_boss_legion_1_mark,Điểm danh quyết đấu
DOTA_Tooltip_modifier_boss_legion_1_mark_Description,"Khi đếm ngược kết thúc, quân đoàn sẽ lao tới liên tục để truy đuổi bạn."
DOTA_Tooltip_modifier_boss_legion_1_duel_caster,Quyết đấu cưỡng ép
DOTA_Tooltip_modifier_boss_legion_1_duel_caster_Description,Quân đoàn đang cưỡng ép tấn công mục tiêu quyết đấu.
DOTA_Tooltip_modifier_boss_legion_1_duel_target,Quyết đấu cưỡng ép
DOTA_Tooltip_modifier_boss_legion_1_duel_target_Description,"Bị quân đoàn cưỡng ép quyết đấu, liên tục tấn công quân đoàn."
DOTA_Tooltip_modifier_boss_night_005_buff,Phân thân màn đêm
DOTA_Tooltip_modifier_boss_night_005_buff_Description,"Trong giai đoạn phân thân, ở trạng thái bất khả xâm phạm. Tiêu diệt phân thân có thể giảm hồi máu khi kết thúc."
DOTA_Tooltip_modifier_boss_night_007_wound,Vết thương nuốt ánh sáng
DOTA_Tooltip_modifier_boss_rubick_sand_4_center_slow,Lõi động đất
DOTA_Tooltip_modifier_boss_storm_spirit_4_storm,Mắt bão
DOTA_Tooltip_modifier_boss_storm_spirit_4_storm_Description,Định kỳ tấn công kẻ địch có máu thấp nhất gần đó.
DOTA_Tooltip_modifier_boss_storm_spirit_4_armor,Mắt bão giảm giáp
DOTA_Tooltip_modifier_boss_storm_spirit_4_armor_Description,Giáp bị giảm.
DOTA_Tooltip_modifier_elite_027_revive_buff,Hồi sinh vĩnh cửu
DOTA_Tooltip_modifier_elite_027_revive_buff_Description,"Sau khi hồi sinh nhận được tăng cường, tấn công, tốc độ tấn công và tốc độ di chuyển tăng 100%%."
DOTA_Tooltip_modifier_elite_030_hooked,Móc nhện trói
DOTA_Tooltip_modifier_elite_030_hooked_Description,"Khi trúng móc nhện, không thể hành động và bị kéo về phía người thi triển, đồng thời thu hút kẻ địch xung quanh tấn công."
DOTA_Tooltip_modifier_elite_030_hooked_aura_buff,Cuồng nhiệt săn mồi
DOTA_Tooltip_modifier_elite_030_hooked_aura_buff_Description,"Được truyền cảm hứng từ hơi thở của mục tiêu bị móc nhện trói, tăng tấn công, tốc độ tấn công và tốc độ di chuyển."
DOTA_Tooltip_modifier_elite_036_stack,Dấu ấn đòn nặng
DOTA_Tooltip_modifier_elite_036_stack_Description,Mỗi lớp từ đòn đánh thường của đơn vị này; khi lớp lớn hơn 5 sẽ bị choáng và reset.
DOTA_Tooltip_modifier_elite_044_reflect,Phản xạ sát thương
DOTA_Tooltip_modifier_elite_044_reflect_Description,"Khi nhận sát thương, phản lại sát thương cho kẻ tấn công."
DOTA_Tooltip_modifier_elite_046_dash,Đột kích
DOTA_Tooltip_modifier_elite_046_dash_Description,"Đột kích nhanh về phía trước, gây sát thương lên kẻ địch trên đường đi."
DOTA_Tooltip_modifier_elite_050_stone_skin,Chấn động da đá
DOTA_Tooltip_modifier_elite_050_stone_skin_Description,"Tăng giáp, và định kỳ gây chấn động kẻ địch gần đó."
DOTA_Tooltip_modifier_elite_056_frenzy,Cuồng nhiệt tinh thể
DOTA_Tooltip_modifier_elite_056_frenzy_Description,"Tăng tốc độ di chuyển và tốc độ tấn công, đòn đánh thêm sát thương lưỡi tinh thể phạm vi nhỏ."
DOTA_Tooltip_modifier_elite_062_no_heal,Cấm trị băng sương
DOTA_Tooltip_modifier_elite_062_no_heal_Description,Không thể nhận bất kỳ hiệu ứng hồi máu nào.
DOTA_Tooltip_modifier_elite_066_crit_aura,Khe nứt hỗn loạn
DOTA_Tooltip_modifier_elite_066_crit_aura_Description,Đồng minh xung quanh nhận được tăng sát thương chí mạng.
DOTA_Tooltip_modifier_elite_066_crit_buff,Chí mạng hỗn loạn
DOTA_Tooltip_modifier_elite_066_crit_buff_Description,Tăng sát thương chí mạng.
DOTA_Tooltip_modifier_elite_067_root,Trói lưới sương
DOTA_Tooltip_modifier_elite_067_root_Description,"Bị lưới sương trói, không thể di chuyển, và chịu ảnh hưởng lạnh giá mạnh."
DOTA_Tooltip_modifier_elite_068_latched,Nhện băng bám lưng
DOTA_Tooltip_modifier_elite_068_latched_Description,"Nhện băng bám trên lưng cắn xé liên tục, mỗi giây chịu một đòn tấn công."
DOTA_Tooltip_modifier_elite_070_ice_guard,Bùa hộ mệnh Thung lũng Băng giá
DOTA_Tooltip_modifier_elite_070_ice_guard_Description,"Được bảo vệ bởi băng phong, không thể hành động, miễn nhiễm sát thương vật lý và hồi phục máu liên tục."
DOTA_Tooltip_modifier_elite_103_plasma_slow,Trường plasma
DOTA_Tooltip_modifier_elite_103_plasma_slow_Description,Tốc độ di chuyển giảm.
DOTA_Tooltip_modifier_elite_109_thunder_strike_slow,Đòn đánh Phong Lôi
DOTA_Tooltip_modifier_elite_109_thunder_strike_slow_Description,Tốc độ di chuyển và tốc độ tấn công giảm.
DOTA_Tooltip_modifier_elite_111_sleep,Mộng du
DOTA_Tooltip_modifier_elite_111_sleep_Description,"Rơi vào giấc ngủ ác mộng, không thể hành động và liên tục chịu sát thương."
DOTA_Tooltip_modifier_elite_126_unholy_aura_buff,Hào quang tà ác
DOTA_Tooltip_modifier_elite_126_unholy_aura_buff_Description,Tốc độ hồi phục máu tăng.
DOTA_Tooltip_modifier_elite_138_overgrowth_root,Rễ thế giới cây quấn
DOTA_Tooltip_modifier_elite_138_overgrowth_root_Description,"Bị rễ cây thế giới quấn chặt, không thể di chuyển."
DOTA_Tooltip_modifier_elite_138_overgrowth_form,Biến thành cây oán
DOTA_Tooltip_modifier_elite_138_overgrowth_form_Description,"Kích thước lớn hơn, tốc độ di chuyển và sát thương tấn công tăng gấp đôi."
DOTA_Tooltip_modifier_elite_139_earthshock_slow,Địa chấn làm chậm
DOTA_Tooltip_modifier_elite_139_earthshock_slow_Description,Tốc độ di chuyển giảm mạnh.
DOTA_Tooltip_modifier_elite_140_overpower,Quá tải phẫn nộ
DOTA_Tooltip_modifier_elite_140_overpower_Description,"Tốc độ tấn công tăng đáng kể, tấn công trúng đích cộng dồn sát thương."
DOTA_Tooltip_modifier_normal_018_cultist_buff,Thân thể tế lễ
DOTA_Tooltip_modifier_normal_018_cultist_buff_Description,"Tăng vĩnh viễn máu, sát thương và tốc độ di chuyển; kích thước tăng tối đa 60%."
DOTA_Tooltip_modifier_normal_034_slow,Chậm rung nhảy
DOTA_Tooltip_modifier_normal_034_slow_Description,Tốc độ di chuyển giảm 50%.
DOTA_Tooltip_modifier_normal_041_dark_slow,Diệt Quang Chậm
DOTA_Tooltip_modifier_normal_041_dark_slow_Description,Tốc độ di chuyển giảm 80%.
DOTA_Tooltip_modifier_normal_042_wound,Vết thương Ám Thực
DOTA_Tooltip_modifier_normal_042_wound_Description,Mỗi tầng giảm 20%% lượng hồi máu nhận được.
DOTA_Tooltip_modifier_normal_043_berserk,Cuồng Bạo
DOTA_Tooltip_modifier_normal_043_berserk_Description,"Tốc độ di chuyển tăng 100%, tốc độ tấn công tăng 100."
DOTA_Tooltip_modifier_normal_044_berserk,Cuồng Bạo
DOTA_Tooltip_modifier_normal_044_berserk_Description,"Tốc độ di chuyển tăng 50%, tốc độ tấn công tăng 50."
DOTA_Tooltip_modifier_energy_shield_recharge_cooldown,Hồi nạp khiên
DOTA_Tooltip_modifier_energy_shield_recharge_cooldown_Description,Khiên đang hồi nạp.
DOTA_Tooltip_modifier_base_energy_shield,Khiên
DOTA_Tooltip_modifier_base_energy_shield_Description,"Chặn hầu hết sát thương, nhưng không chặn được sát thương thuần túy. Không hồi phục trong 3 giây sau khi nhận sát thương; sau khi bắt đầu hồi phục, hồi 25% mỗi giây."
DOTA_Tooltip_modifier_generic_bleed,Chảy máu
DOTA_Tooltip_modifier_generic_bleed_Description,Chịu sát thương theo chu kỳ. Sát thương dựa trên sát thương cuối cùng gây ra chảy máu; áp dụng lại sẽ tăng tổng sát thương chảy máu sau đó.
DOTA_Tooltip_modifier_generic_burning,Thiêu đốt
DOTA_Tooltip_modifier_generic_burning_Description,"Nhận sát thương thuần túy theo chu kỳ. Mục tiêu thường nhận 15% máu hiện tại mỗi giây, tinh anh 7.5%, trùm và thủ lĩnh 1.5%."
DOTA_Tooltip_modifier_generic_poison,Trúng độc
DOTA_Tooltip_modifier_generic_poison_Description,"Nhận sát thương phép theo chu kỳ. Sát thương dựa trên tất cả chỉ số của người thi triển, tất cả cộng dồn đều tham gia vào tính toán tổng sát thương độc."
DOTA_Tooltip_modifier_generic_slow,Đóng băng
DOTA_Tooltip_modifier_generic_slow_Description,"Giảm tốc độ di chuyển và tốc độ tấn công. Mỗi cộng dồn giảm 3%, tối đa 10 cộng dồn."
DOTA_Tooltip_modifier_generic_vulnerable,Dễ bị tổn thương
DOTA_Tooltip_modifier_generic_vulnerable_Description,"Tất cả sát thương phải chịu tăng. Ban đầu tăng 20%, mỗi cộng dồn thêm 5%, tối đa 40%."
DOTA_Tooltip_modifier_game_dda_daily_luck,May mắn hàng ngày
DOTA_Tooltip_modifier_game_dda_daily_luck_Description,"Tăng may mắn rơi vật phẩm, mỗi lần vào bản đồ tiêu hao 1 điểm."
DOTA_Tooltip_modifier_env_darkness,Bóng tối
DOTA_Tooltip_modifier_env_darkness_Description,"Tầm nhìn giảm, sát thương gây ra giảm 30%%, sát thương phải chịu tăng 30%%. Quái vật trong bóng tối có kỹ năng mạnh hơn"
DOTA_Tooltip_modifier_env_monster_darkness,Che chở bóng tối
DOTA_Tooltip_modifier_env_monster_darkness_Description,Bóng tối
DOTA_Tooltip_modifier_no_heal,Cấm hồi phục
DOTA_Tooltip_modifier_no_heal_Description,Không thể nhận bất kỳ hiệu ứng hồi phục nào.
DOTA_Tooltip_modifier_ak_rune_arcane,Bùa huyền bí
DOTA_Tooltip_modifier_ak_rune_arcane_Description,"Giảm hồi chiêu 25%, giảm tiêu hao mana 30%."
DOTA_Tooltip_modifier_ak_rune_damage,Bùa sát thương
DOTA_Tooltip_modifier_ak_rune_damage_Description,"Sát thương cơ bản tăng 80%%, sát thương kỹ năng 15%%."
DOTA_Tooltip_modifier_ak_rune_haste,Bùa cực tốc
DOTA_Tooltip_modifier_ak_rune_haste_Description,"Tăng tốc độ di chuyển 100 điểm, tốc độ tấn công tăng 100."
DOTA_Tooltip_modifier_ak_rune_regen,Bùa hồi phục
DOTA_Tooltip_modifier_ak_rune_regen_Description,Hồi phục 5%% máu và 5%% mana mỗi giây.
DOTA_Tooltip_modifier_ak_rune_shield,Bùa khiên
DOTA_Tooltip_modifier_ak_rune_shield_Description,Nhận giới hạn khiên cao.
DOTA_Tooltip_modifier_pa_012_assassination,Thuật ám sát
DOTA_Tooltip_modifier_pa_012_assassination_Description,Tăng sát thương cơ bản dựa trên nhanh nhẹn.
DOTA_Tooltip_modifier_item_0144_shadow_barrier,Lá chắn bóng tối
DOTA_Tooltip_modifier_item_0144_shadow_barrier_Description,Miễn nhiễm với hiệu ứng độc.
DOTA_Tooltip_modifier_item_0204_valor,Dũng cảm
DOTA_Tooltip_modifier_item_0204_valor_Description,"Nhận thêm giới hạn máu khi tấn công hoặc dùng kỹ năng, có thể cộng dồn tối đa số tầng quy định."
DOTA_Tooltip_modifier_item_0209_spellblade_dot,Liên kích ma chú
DOTA_Tooltip_modifier_item_0209_spellblade_dot_Description,"Mỗi giây chịu sát thương phép dựa trên toàn bộ chỉ số của người thi triển. Khi bị áp dụng lại, gây sát thương ngay lập tức một lần."
DOTA_Tooltip_modifier_item_0211_inertia,Thế năng quán tính
DOTA_Tooltip_modifier_item_0211_inertia_Description,"Khi tốc độ di chuyển vượt ngưỡng, tăng tốc độ tấn công."
DOTA_Tooltip_modifier_item_0212_psionic_conversion,Chuyển đổi linh năng
DOTA_Tooltip_modifier_item_0212_psionic_conversion_Description,"Sau khi dùng kỹ năng, nhận thêm chỉ số thông minh. Các tầng sẽ mất dần theo thời gian."
DOTA_Tooltip_modifier_item_0220_wingbeat_buff,Vỗ cánh
DOTA_Tooltip_modifier_item_0220_wingbeat_buff_Description,Tăng tỷ lệ chí mạng toàn cục. Các tầng sẽ mất dần theo thời gian.
DOTA_Tooltip_modifier_item_0312_heal,Hồi phục
DOTA_Tooltip_modifier_item_0312_heal_Description,Mỗi giây hồi phục máu tối đa và khiên.
DOTA_Tooltip_modifier_item_0315_king_backpack_aura,Thống lĩnh
DOTA_Tooltip_modifier_item_0315_king_backpack_aura_Description,Nhận thêm toàn bộ chỉ số.
DOTA_Tooltip_modifier_item_0352_empowered_strike,Đòn dồn lực
DOTA_Tooltip_modifier_item_0352_empowered_strike_Description,Đòn tấn công tiếp theo gây sát thương vật lý diện rộng dựa trên máu.
DOTA_Tooltip_modifier_item_0446_assault,Tấn công
DOTA_Tooltip_modifier_item_0446_assault_Description,Tăng tốc độ tấn công và sát thương tấn công (có thể cộng dồn).
DOTA_Tooltip_modifier_item_0447_assault,Tấn công
DOTA_Tooltip_modifier_item_0447_assault_Description,Tăng tốc độ tấn công và sát thương tấn công (có thể cộng dồn).
DOTA_Tooltip_modifier_item_0459_psionic_conversion,Chuyển hóa tâm linh
DOTA_Tooltip_modifier_item_0459_psionic_conversion_Description,"Nhận chỉ số thông minh khi sử dụng kỹ năng, số tầng giảm dần theo thời gian."
DOTA_Tooltip_modifier_item_0461,Vô úy
DOTA_Tooltip_modifier_item_0461_Description,Tăng cường sát thương cộng thêm.
DOTA_Tooltip_modifier_item_0465,Liệt huyết
DOTA_Tooltip_modifier_item_0465_Description,"Máu càng thấp, giảm sát thương càng cao."
DOTA_Tooltip_modifier_item_0466_shadow_wisdom,Minh triết
DOTA_Tooltip_modifier_item_0466_shadow_wisdom_Description,"Nhận khi bạo kích phép, mỗi tầng +1% sát thương kỹ năng, tối đa 20 tầng, mất 1 tầng mỗi giây."
DOTA_Tooltip_modifier_item_0468_thunderstorm,Bão sét
DOTA_Tooltip_modifier_item_0468_thunderstorm_Description,"Đòn đánh thường gây ra sét đánh vùng, giảm sát thương nhận vào."
DOTA_Tooltip_modifier_item_0469_swift_thunder,Tấn lôi
DOTA_Tooltip_modifier_item_0469_swift_thunder_Description,Tăng tốc độ tấn công đáng kể.
DOTA_Tooltip_modifier_item_0473_swift_thunder,Tấn lôi
DOTA_Tooltip_modifier_item_0473_swift_thunder_Description,Tăng tốc độ tấn công đáng kể.
DOTA_Tooltip_modifier_item_0502_assault,Tấn công
DOTA_Tooltip_modifier_item_0502_assault_Description,Tăng tốc độ tấn công và sát thương tấn công (có thể cộng dồn).
DOTA_Tooltip_modifier_item_0503_charge,Tích trữ
DOTA_Tooltip_modifier_item_0503_charge_Description,"Đòn tấn công tiếp theo gây thêm sát thương vật lý, có thể tích trữ nhiều lớp."
DOTA_Tooltip_modifier_item_0504,Hồi Âm Huyết Trì
DOTA_Tooltip_modifier_item_0504_Description,"Khi hiệu ứng chảy máu của bạn gây sát thương lên kẻ địch, một tỷ lệ nhất định của sát thương chảy máu này sẽ được tính trực tiếp như sát thương vật lý, không tính vào lượng sát thương chảy máu tích lũy."
DOTA_Tooltip_modifier_item_0505_shadow_wisdom,Trí Tuệ Hiền Giả
DOTA_Tooltip_modifier_item_0505_shadow_wisdom_Description,"Nhận được khi bạo kích phép, mỗi lớp +1% sát thương kỹ năng, tối đa 20 lớp, mỗi giây mất 1 lớp."
DOTA_Tooltip_modifier_item_0515,Mài Sắc Khát Máu
DOTA_Tooltip_modifier_item_0515_Description,"Khi hút máu kích hoạt, tích lũy sức tấn công, sau đó giảm dần mỗi giây."
DOTA_Tooltip_modifier_item_0516,Cộng Hưởng Ma Thần
DOTA_Tooltip_modifier_item_0516_Description,Mỗi trang bị thuộc bộ 【Ma Thần】 đều tăng sức tấn công.
DOTA_Tooltip_modifier_item_0523_afterimage,Đột Kích Tàn Ảnh
DOTA_Tooltip_modifier_item_0523_afterimage_Description,"Sau khi di chuyển tích lũy đủ khoảng cách, triệu hồi tàn ảnh tấn công vào vị trí cố định dưới chân kẻ địch."
DOTA_Tooltip_modifier_item_0524_fire_spirits,Hỏa Thức
DOTA_Tooltip_modifier_item_0524_fire_spirits_Description,"Di chuyển tích lũy số lớp Hỏa Thức; khi có kẻ địch gần đó, tiêu hao Hỏa Thức để bắn cầu lửa, gây sát thương phép bằng lượng mana tối đa và có thể thiêu đốt."
DOTA_Tooltip_modifier_item_0525,Lò Luyện Huyền Thuật
DOTA_Tooltip_modifier_item_0525_Description,Tất cả sát thương vật lý không phải từ đòn tấn công thường đều chuyển hóa thành sát thương phép.
DOTA_Tooltip_modifier_item_0526,Cộng Hưởng Hiền Giả
DOTA_Tooltip_modifier_item_0526_Description,"Càng mặc nhiều trang bị Hiền Giả, lượng mana và sát thương kỹ năng càng tăng (và lượng mana tiêu hao cũng tăng theo)."
DOTA_Tooltip_modifier_item_0528,Tích Trữ Sắc Bén
DOTA_Tooltip_modifier_item_0528_Description,"Khi bạn áp dụng trạng thái Dễ Tổn Thương, có xác suất tăng thêm 1 lớp; khi mục tiêu đạt tối đa số lớp Dễ Tổn Thương, kích nổ và loại bỏ toàn bộ Dễ Tổn Thương."
DOTA_Tooltip_modifier_item_0530_blast,Bùng Nổ
DOTA_Tooltip_modifier_item_0530_blast_Description,"Khiên bị xóa sạch và không thể hồi phục, lượng khiên tối đa chuyển thành sát thương tấn công."
DOTA_Tooltip_modifier_item_0532_mortal_wound,Trọng Thương
DOTA_Tooltip_modifier_item_0532_mortal_wound_Description,Lượng hồi máu và hiệu ứng hồi phục nhận vào bị giảm.
DOTA_Tooltip_modifier_item_0533_unholy_frenzy,Cuồng Nhiệt Bất Khiết
DOTA_Tooltip_modifier_item_0533_unholy_frenzy_Description,Hút máu vật lý và hút máu phép tăng gấp đôi.
DOTA_Tooltip_modifier_item_0540_brand,Thiêu Đốt
DOTA_Tooltip_modifier_item_0540_brand_Description,"Giảm giáp, tăng sát thương phép nhận vào, mạnh hơn theo số tầng Thiêu Đốt."
DOTA_Tooltip_modifier_item_0541,Lăng Kính Biến Hóa
DOTA_Tooltip_modifier_item_0541_Description,Chuyển đổi sát thương vật lý thành sát thương phép.
DOTA_Tooltip_modifier_item_0544_judgment,Thiên Phạt
DOTA_Tooltip_modifier_item_0544_judgment_Description,Giảm sát thương tấn công và không thể nhận bất kỳ hiệu ứng hồi máu nào.
DOTA_Tooltip_modifier_item_0548,Kim Cương Hộ Thể
DOTA_Tooltip_modifier_item_0548_Description,Tất cả sát thương phép nhận vào chuyển thành sát thương vật lý.
DOTA_Tooltip_modifier_item_0549,U Ám Hộ Thể
DOTA_Tooltip_modifier_item_0549_Description,Tất cả sát thương vật lý nhận vào chuyển thành sát thương phép.
DOTA_Tooltip_modifier_item_0550,Nộ Khí Tử Chiến
DOTA_Tooltip_modifier_item_0550_Description,"Khi máu dưới ngưỡng, sát thương gây ra tăng mạnh."
DOTA_Tooltip_modifier_item_0561,Lời nguyền tôi luyện
DOTA_Tooltip_modifier_item_0561_Description,"Mỗi khi chịu một trạng thái tiêu cực, nhận thêm sát thương và giảm sát thương."
DOTA_Tooltip_modifier_item_0561_curse_slow,Lảo đảo
DOTA_Tooltip_modifier_item_0561_curse_slow_Description,Tốc độ di chuyển giảm.
DOTA_Tooltip_modifier_item_0561_curse_mind,Trí não nứt vỡ
DOTA_Tooltip_modifier_item_0561_curse_mind_Description,Kháng phép giảm.
DOTA_Tooltip_modifier_item_0561_curse_decay,Mục rữa
DOTA_Tooltip_modifier_item_0561_curse_decay_Description,Hiệu quả hồi phục giảm.
DOTA_Tooltip_modifier_item_0563,Lời nguyền hang động
DOTA_Tooltip_modifier_item_0563_Description,"Né tránh không còn hiệu lực; khi tấn công trúng, mỗi một món trong bộ Tật Ảnh, gây thêm một lần sát thương vật lý (tỷ lệ né tránh × nhanh nhẹn) lên mục tiêu."
DOTA_Tooltip_modifier_item_0564,Linh năng vĩnh cửu
DOTA_Tooltip_modifier_item_0564_Description,"Khi tấn công trúng, có xác suất ngẫu nhiên hồi phục 1 lần nạp năng lượng cho một kỹ năng chưa đầy nạp của bản thân."
DOTA_Tooltip_modifier_item_0565,Lửa sao bùng cháy
DOTA_Tooltip_modifier_item_0565_Description,"Khi gây sát thương lên kẻ địch đang bị thiêu đốt, theo số món trong bộ Phần Thế, có xác suất cộng thêm 1 tầng thiêu đốt lên chúng."
DOTA_Tooltip_modifier_item_0566_meltarmor,Giáp nóng chảy
DOTA_Tooltip_modifier_item_0566_meltarmor_Description,"Giáp giảm, và sát thương phép nhận vào tăng."
DOTA_Tooltip_modifier_item_0567_mark,Dấu ấn săn mồi
DOTA_Tooltip_modifier_item_0567_mark_Description,"Sát thương từ người gây dấu ấn tăng, tăng dần theo số tầng."
DOTA_Tooltip_modifier_item_0569_pact,Hợp đồng máu
DOTA_Tooltip_modifier_item_0569_pact_Description,"Phần bị trì hoãn trong sát thương nhận vào, đang dần mất máu."
DOTA_Tooltip_modifier_item_0570,Cộng hưởng lời nguyền vạn vật
DOTA_Tooltip_modifier_item_0570_Description,"Khi trạng thái tiêu cực đạt ngưỡng, nhận tỷ lệ chí mạng toàn cục."
DOTA_Tooltip_modifier_item_0574,Tích năng cân bằng
DOTA_Tooltip_modifier_item_0574_Description,"Tiêu hao năng lượng để tích trữ; lần sát thương kỹ năng tiếp theo sẽ tiêu hao toàn bộ số tầng, mỗi tầng tăng sát thương lần đó."
DOTA_Tooltip_modifier_item_0575,Vòng năm ăn mòn
DOTA_Tooltip_modifier_item_0575_Description,"Mỗi khi sát thương duy trì của bạn kết toán, rút ngắn thời gian hồi chiêu của tất cả kỹ năng không nạp lại."
DOTA_Tooltip_modifier_item_0576,Lửa nguyền
DOTA_Tooltip_modifier_item_0576_Description,"Mỗi khi chịu một trạng thái tiêu cực, sát thương duy trì của bạn tăng lên."
DOTA_Tooltip_modifier_item_0577,Sách linh hồn ăn mòn
DOTA_Tooltip_modifier_item_0577_Description,"Khi sát thương duy trì của bạn kết toán, có tỷ lệ rơi vào một tầng lời nguyền linh hồn ăn mòn."
DOTA_Tooltip_modifier_item_0577_curse,Linh hồn ăn mòn
DOTA_Tooltip_modifier_item_0577_curse_Description,"Tốc độ di chuyển giảm; nếu mặc bộ hai món nguyền ăn mòn, mỗi tầng đồng thời tăng sát thương kỹ năng."
DOTA_Tooltip_modifier_item_0578,Dẫn dụ vạn tượng
DOTA_Tooltip_modifier_item_0578_Description,"Khi áp dụng trạng thái sát thương duy trì, có tỷ lệ ngẫu nhiên thêm cho mục tiêu một trạng thái sát thương duy trì mà nó chưa có."
DOTA_Tooltip_modifier_item_0579,Ấn bốn bệnh dịch
DOTA_Tooltip_modifier_item_0579_Description,"Mục tiêu đồng thời chịu chảy máu, trúng độc, bỏng rát, thiêu đốt của bạn, mỗi lần kết toán sát thương duy trì sẽ thêm một lần sát thương vật lý."
DOTA_Tooltip_modifier_item_0580,Đồng độ
DOTA_Tooltip_modifier_item_0580_Description,"Trạng thái tiêu cực mà bản thân chịu, các hiệu ứng thuộc tính được áp dụng tỷ lệ lên kẻ địch xung quanh."
DOTA_Tooltip_modifier_item_0580_mirror,Đồng vận mệnh
DOTA_Tooltip_modifier_item_0580_mirror_Description,Chịu các hiệu ứng chỉ số tiêu cực chuyển từ người sở hữu Chuông Vượt Kiếp.
DOTA_Tooltip_modifier_item_0581,Thẩm họa
DOTA_Tooltip_modifier_item_0581_Description,"Mỗi hiệu ứng tiêu cực trên mục tiêu, sát thương gây ra càng cao."
DOTA_Tooltip_modifier_item_0593_erode,Ăn mòn
DOTA_Tooltip_modifier_item_0593_erode_Description,"Sát thương liên tục tính theo cộng dồn, mỗi tầng tăng tỷ lệ chí mạng toàn cục và sát thương chí mạng; mỗi giây mất một lượng nhỏ tầng."
DOTA_Tooltip_modifier_item_0594,Vua cô độc
DOTA_Tooltip_modifier_item_0594_Description,"Mục tiêu không có kẻ địch khác xung quanh: sát thương bạn gây ra tăng, sát thương bạn nhận từ nó giảm."
DOTA_Tooltip_modifier_item_0596_ritual,Tế máu
DOTA_Tooltip_modifier_item_0596_ritual_Description,Sát thương gây ra tăng; máu đã mất do thiêu đốt không thể hồi phục trong thời gian duy trì.
DOTA_Tooltip_modifier_item_0597,Xúc xắc tất tay
DOTA_Tooltip_modifier_item_0597_Description,Hình thái xúc xắc (tầng): 1【Cuồng công】sát thương vật lý tăng; 2【Bí pháp】sát thương kỹ năng tăng; 3【Thiên mệnh】tỷ lệ chí mạng toàn cục tăng; 4【Bàn thạch】sát thương nhận vào giảm.
DOTA_Tooltip_modifier_item_0598_link,Liên kết linh hồn
DOTA_Tooltip_modifier_item_0598_link_Description,Kết nối linh hồn với người thi triển: trở thành mục tiêu phản đòn sát thương vật lý của nó.
DOTA_Tooltip_modifier_item_0599,Vũ bóng
DOTA_Tooltip_modifier_item_0599_Description,"Phần tỷ lệ né tránh vượt quá ngưỡng chuyển thành sát thương gây ra tăng, chỉ số tăng hiện tại xem ở tầng."
DOTA_Tooltip_modifier_item_0602_surge,Trút
DOTA_Tooltip_modifier_item_0602_surge_Description,Mỗi tầng tăng tiêu hao mana và sát thương kỹ năng; sau mỗi khoảng thời gian mất một tầng.
DOTA_Tooltip_modifier_item_0602_distill,Chưng cất
DOTA_Tooltip_modifier_item_0602_distill_Description,"Mỗi tầng tăng hồi phục mana, nhưng giảm sát thương kỹ năng; sau mỗi khoảng thời gian mất một tầng."
DOTA_Tooltip_modifier_item_0603,Lục Cực
DOTA_Tooltip_modifier_item_0603_Description,"Khi Sức mạnh, Nhanh nhẹn và Trí tuệ đều đạt ngưỡng, sát thương gây ra tăng, sát thương nhận vào giảm (số lớp = số thuộc tính hiện đạt ngưỡng)."
DOTA_Tooltip_modifier_item_0604,Quá Nhiệt
DOTA_Tooltip_modifier_item_0604_Description,Mỗi hiệu ứng tăng cấp cao là một lớp Quá Nhiệt: mỗi lớp tăng sát thương kỹ năng và thiêu đốt máu hiện tại mỗi giây.
